Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,total_sales
2014,10,101.1949998,108.7513122,140.5375007,1073.13688,432.0625,19.625,160,46.6875,2081.995693
2017,8,170.1499994,112.4700004,84.4000001,549.3000002,239,12,75,60.09999979,1302.42
2017,10,137.6399998,88.73699886,100.3999995,1184.349993,226,15,247,51,2050.126991
2015,7,175.6100007,113.8099994,125.4999995,708.8279991,203,6,60,130.3,1523.047999
2016,4,166.6099995,146.5259993,147.7000008,998.3369999,292,18,216,162.3999996,2147.572999
2016,2,173.8099996,137.5279998,134.2,1224.861992,239,20,245,58,2232.399991
2017,1,181.9020828,150.9912505,191.270834,1439.359997,443.749999,34.16666609,15,61.74999964,2518.190829
2019,3,154.5199998,113.1180007,83.34999983,941.0500031,301.3999996,19,257,169.4999999,2038.938003
2018,6,141.1799997,114.2259989,86.79999992,584.3430014,248,18,101,120.8000002,1414.349
2014,9,108.7800001,109.0940008,112.1,887.8199987,399,14,115,58.79999995,1804.594
2017,9,138.3299994,118.7110004,88.14999972,863.750001,223,23,139,66.89999986,1660.841
2015,6,151.8700002,113.69,145.4600006,715.4129982,217,12,193,125.8000002,1674.232999
2016,3,156.6399984,165.5889998,148.3999997,1150.700005,250,13,253,97.84,2235.169003
2014,1,127.6900001,99.09000009,152.1000001,878.0299978,354,30,112,48.2,1801.109998
2017,2,159.9900002,125.3390844,122.8749995,670.8758316,178.791666,11.16666663,117,38.0999999,1424.138248
2019,4,161.3899999,100.1650004,88.09999979,647.6499996,299.4000006,22,219,179.0999999,1716.805
2019,6,151.5399999,101.6269991,103.1999996,610,193,25,142,156.0400002,1482.406999
2014,12,131.8999999,121.4010001,111.1239996,1015.66001,492,25,163,33.4000001,2093.48501
2015,9,166.2199989,134.1220007,110.3999989,852.125001,243.5,11,91,71,1679.366999
2018,9,153.5199997,114.9919996,86.5,1058.262001,263,12,205,88.0999999,1981.374
2016,6,169.6699995,114.9609998,117.75,760.0499992,280.5,20,127,134.7999997,1724.730998
2017,12,160.0099996,121.6630003,115.1499999,1007.180001,226,6,204,47.10000002,1887.103001
2014,2,133.3200001,126.0500003,176.9999995,1001.9,347,31,122,36.20000005,1974.47
2017,3,162.8500001,111.0550001,107.3499998,612.5,165,9,109,100.1000004,1376.855
2014,11,138.0799999,100.8600007,142.6999996,723.8000002,489,19,112,45.2,1770.64
2019,5,168.0400003,97.25799908,104.1000001,703.5620041,265.7999997,26,282,135.3999999,1782.160003
2018,8,139.9999996,114.7189996,88.25,733.8379993,253,20,159,103.1000001,1611.906999
2015,8,181.6899998,144.5189999,133.4000001,790.788002,265.5,15,45,83.69999999,1659.597002
2017,11,163.8499999,119.7799999,104.4499992,867.8990021,192,15,196,46.6000001,1705.579001
2016,5,167.3600004,120.8609992,130.55,997.1499996,255,18,131,137.0999999,1957.020999
2014,3,137.4400008,92.9499999,147.6549994,779.2749991,232,20,112,85.39999938,1606.719999
