sale_date,Year,Month,Weekday_Name,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,total_sales
10-02-2014,2014,2,Monday,5,10.32999992,8.5,40.09999847,20,3,3,1,90.9299984
11-02-2014,2014,2,Tuesday,10,6.989999771,13.30000019,44.59999847,20,2,6,2.200000048,105.0899985
12-02-2014,2014,2,Wednesday,9,1.669999957,9.100000381,73.59999847,9,0,5,0,107.3699988
13-02-2014,2014,2,Thursday,4.329999924,3.670000076,10,49.09999847,13,3,0,1,84.09999847
14-02-2014,2014,2,Friday,4,4.010000229,3.200000048,42.29999924,13,4,0,6,76.50999951
15-02-2014,2014,2,Saturday,1,2.339999914,2,37,9,0,1,5,57.33999991
16-02-2014,2014,2,Sunday,0,1.679999948,1.200000048,34,5,2,3,1,47.88
17-02-2014,2014,2,Monday,7.340000153,4,12.69999981,27,13,1,7,0,72.03999996
18-02-2014,2014,2,Tuesday,7.340000153,7.360000134,6.099999905,45,14,0,13,5,97.80000019
19-02-2014,2014,2,Wednesday,3.329999924,5.019999981,5.5,66.80000305,17,1,6,1,105.650003
20-02-2014,2014,2,Thursday,7,7.019999981,3.200000048,21.5,16,3,8,1,66.72000003
21-02-2014,2014,2,Friday,6,4.340000153,9,25.39999962,17,0,0,0,61.73999977
22-02-2014,2014,2,Saturday,7,3.170000076,5.699999809,26,12,0,1,0,54.86999989
23-02-2014,2014,2,Sunday,1,3.339999914,2,21,10,0,0,0,37.33999991
24-02-2014,2014,2,Monday,7,4.679999828,5.5,26.5,4,0,0,3,50.67999983
25-02-2014,2014,2,Tuesday,5,1.679999948,11.19999981,34.5,13,0,0,2,67.37999976
26-02-2014,2014,2,Wednesday,5,4.010000229,1,34,5,0,12,1,62.01000023
27-02-2014,2014,2,Thursday,3,6.340000153,4,33.20000076,8,1,2,1,58.54000092
28-02-2014,2014,2,Friday,7,7.360000134,5.300000191,37,12,1,2,0,71.66000032
01-03-2014,2014,3,Saturday,6.340000153,3.680000067,11.35499954,50.70000076,8,0,0,2.099999905,82.17500043
02-03-2014,2014,3,Sunday,3.339999914,1,2,6.599999905,2,0,0,1,15.93999982
03-03-2014,2014,3,Monday,4,3.680000067,1.600000024,22.10000038,1,2,0,2.200000048,36.58000052
04-03-2014,2014,3,Tuesday,5.340000153,7.019999981,7.199999809,47.27500153,9,0,5,4,84.83500147
05-03-2014,2014,3,Wednesday,3.339999914,1,3,25,4,0,1,0,37.33999991
06-03-2014,2014,3,Thursday,3,2,5.5,44.09999847,17,1,5,1,78.59999847
07-03-2014,2014,3,Friday,4,4.340000153,9.5,25,3,1,0,2,48.84000015
08-03-2014,2014,3,Saturday,4.340000153,3.069999933,1,27.60000038,11,0,0,0,47.01000047
09-03-2014,2014,3,Sunday,1,0,4,11.30000019,3,0,5,0,24.30000019
10-03-2014,2014,3,Monday,6.679999828,5.349999905,3.799999952,47,11,0,0,2,75.82999969
11-03-2014,2014,3,Tuesday,6,5.699999809,7,30.39999962,12,1,1,5,68.09999943
12-03-2014,2014,3,Wednesday,6.340000153,2.680000067,6.5,19.60000038,22,3,2,2,64.1200006
13-03-2014,2014,3,Thursday,2.309999943,4.360000134,5.300000191,15.5,10,0,26,2,65.47000027
14-03-2014,2014,3,Friday,4.340000153,1.679999948,1.200000048,16,11,0,1,2,37.22000015
15-03-2014,2014,3,Saturday,4,2,11,23.29999924,18,1,6,2,67.29999924
16-03-2014,2014,3,Sunday,2.680000067,2,1.399999976,13,6,0,0,4,29.08000004
17-03-2014,2014,3,Monday,8.680000305,3.339999914,7,37,6,1,0,1,64.02000022
18-03-2014,2014,3,Tuesday,8,4,5,20.10000038,9,0,0,4,50.10000038
19-03-2014,2014,3,Wednesday,4,3.019999981,4,21.79999924,2,0,0,2,36.81999922
20-03-2014,2014,3,Thursday,3,5.340000153,1.600000024,38.20000076,5,0,7,4.199999809,64.34000075
21-03-2014,2014,3,Friday,6,3.680000067,4.5,40,4,0,2,1,61.18000007
22-03-2014,2014,3,Saturday,3.339999914,2.339999914,0,26.29999924,10,2,18,8.399999619,70.37999868
23-03-2014,2014,3,Sunday,6.340000153,2,4,19.39999962,0,1,0,3,35.73999977
24-03-2014,2014,3,Monday,5.679999828,1,4,23.60000038,7,0,6,3.5,50.78000021
25-03-2014,2014,3,Tuesday,4,1.340000033,9,38.59999847,7,0,1,1,61.93999851
26-03-2014,2014,3,Wednesday,2.339999914,3.99000001,9,6.699999809,7,3,3,0,35.02999973
27-03-2014,2014,3,Thursday,4,0.330000013,2,20.70000076,6,1,1,5,40.03000078
28-03-2014,2014,3,Friday,2.670000076,2,8,11,3,0,9,5,40.67000008
29-03-2014,2014,3,Saturday,4,6.329999924,4.199999809,24,8,2,9,3,60.52999973
30-03-2014,2014,3,Sunday,3,2.339999914,0,12,4,0,0,7,28.33999991
31-03-2014,2014,3,Monday,5.340000153,2.339999914,4,15.39999962,6,1,4,6,44.07999969
01-04-2014,2014,4,Tuesday,4.340000153,1.340000033,6.5,27.5,5,3,3,1,51.68000019
02-04-2014,2014,4,Wednesday,2,4.679999828,8.899999619,23,1,0,7,3,49.57999945
03-04-2014,2014,4,Thursday,1,1.340000033,3,19.20000076,4,0,0,4,32.5400008
04-04-2014,2014,4,Friday,3,3.670000076,3,24,9,3,8,2,55.67000008
05-04-2014,2014,4,Saturday,2,7.679999828,10,25.60000038,5,0,5,3,58.28000021
06-04-2014,2014,4,Sunday,2,1,1,19,1,0,0,1,25
07-04-2014,2014,4,Monday,6.340000153,6,6.5,31.5,4,0,0,1,55.34000015
08-04-2014,2014,4,Tuesday,4.340000153,2.339999914,1.700000048,19,6,1,0,4.699999809,39.07999992
09-04-2014,2014,4,Wednesday,6,1.019999981,1,18,2,1,2,2.599999905,33.61999989
10-04-2014,2014,4,Thursday,3.329999924,1.679999948,1,18,10,0,4,4,42.00999987
11-04-2014,2014,4,Friday,6,4,3,25,2,2,0,2,44
12-04-2014,2014,4,Saturday,7.019999981,3.339999914,6,23.5,19,0,11,4,73.8599999
13-04-2014,2014,4,Sunday,3,2,2,6,3,0,5,2,23
14-04-2014,2014,4,Monday,1.340000033,4.679999828,5.349999905,28.28000069,10,0,5,5,59.65000045
15-04-2014,2014,4,Tuesday,4.340000153,3,6.400000095,18.70000076,12,0,10,1,55.44000101
16-04-2014,2014,4,Wednesday,2,1.00999999,4.199999809,25.62000084,1,0,6,4,43.83000064
17-04-2014,2014,4,Thursday,5.340000153,0.340000004,7.199999809,16,19,0,0,0,47.87999997
18-04-2014,2014,4,Friday,7,7,8,23.29999924,10,1,0,5,61.29999924
19-04-2014,2014,4,Saturday,7.340000153,3.349999905,4,22.29999924,7,0,3,5,51.98999929
20-04-2014,2014,4,Sunday,0,0,0,0,0,0,0,0,0
21-04-2014,2014,4,Monday,1.340000033,1.679999948,2.099999905,13.5,8,0,0,1,27.61999989
22-04-2014,2014,4,Tuesday,5.340000153,7.164999962,3.299999952,32,8,1,0,1,57.80500007
23-04-2014,2014,4,Wednesday,6.340000153,2.339999914,3,24.89999962,8,1,2,1,48.57999969
24-04-2014,2014,4,Thursday,2,2,1.100000024,26,6,0,6,2,45.10000002
25-04-2014,2014,4,Friday,3,2.019999981,5,24.89999962,10,1,1,3,49.9199996
26-04-2014,2014,4,Saturday,4.340000153,2.670000076,5.5,35,12,1,6,4,70.51000023
27-04-2014,2014,4,Sunday,4,2.339999914,2,26.20000076,2,0,1,1,38.54000068
28-04-2014,2014,4,Monday,1.340000033,3.089999914,3,29.10000038,8,2,0,2,48.53000033
29-04-2014,2014,4,Tuesday,3.329999924,4.019999981,4.400000095,30.29999924,6,1,5,0.400000006,54.44999924
30-04-2014,2014,4,Wednesday,4.340000153,2.680000067,7,43.09999847,11,0,7,4,79.11999869
01-05-2014,2014,5,Thursday,0,0,0,0,0,0,0,0,0
02-05-2014,2014,5,Friday,7.340000153,7.340000153,6.300000191,39.5,16,1,12,2,91.4800005
03-05-2014,2014,5,Saturday,4,5.340000153,2,14.60000038,5,2,0,2.5,35.44000053
04-05-2014,2014,5,Sunday,1.669999957,4.690000057,1.200000048,20,3,0,0,3,33.56000006
05-05-2014,2014,5,Monday,3,5.784999847,5,20,7,0,3,4,47.78499985
06-05-2014,2014,5,Tuesday,7.340000153,4.360000134,4,22,10,2,6,5,60.70000029
07-05-2014,2014,5,Wednesday,3.329999924,6.320000172,3,16.79999924,8,1,3,11,52.44999933
08-05-2014,2014,5,Thursday,2,2.339999914,3.400000095,20.39999962,10,3,0,5,46.13999963
09-05-2014,2014,5,Friday,2,5,4.199999809,16,12,2,1,2,44.19999981
10-05-2014,2014,5,Saturday,5,6,9,39.40000153,15,3,1,5,83.40000153
11-05-2014,2014,5,Sunday,2,2.680000067,1,17,7,0,1,4,34.68000007
12-05-2014,2014,5,Monday,4.340000153,3.339999914,9,12,8,0,5,2,43.68000007
13-05-2014,2014,5,Tuesday,3.680000067,0.340000004,6.199999809,32,7,0,25,7.5,81.71999988
14-05-2014,2014,5,Wednesday,1,4.019999981,6,24.29999924,4,0,0,3,42.31999922
15-05-2014,2014,5,Thursday,2.339999914,2.019999981,3,19.29999924,7,0,1,2,36.65999913
16-05-2014,2014,5,Friday,5.340000153,7,3,22,10,1,11,1,60.34000015
17-05-2014,2014,5,Saturday,2.339999914,7.679999828,3,35,14,1,0,2,65.01999974
18-05-2014,2014,5,Sunday,3.339999914,2,5,9.399999619,6,0,0,1,26.73999953
19-05-2014,2014,5,Monday,8.340000153,3.839999914,6.099999905,12.80000019,5,0,3,9,48.08000016
20-05-2014,2014,5,Tuesday,1,2.375,7,27,10,1,0,3.599999905,51.9749999
21-05-2014,2014,5,Wednesday,2,4.679999828,9.5,15.39999962,6,1,0,3,41.57999945
22-05-2014,2014,5,Thursday,3.680000067,1.330000043,1.200000048,8,8,0,2,4,28.21000016
23-05-2014,2014,5,Friday,5,2.339999914,3.900000095,17.5,8,2,10,7,55.74000001
24-05-2014,2014,5,Saturday,3,4.712999821,5,28,11,1,0,9,61.71299982
25-05-2014,2014,5,Sunday,2,3,1,7,8,0,5,1,27
26-05-2014,2014,5,Monday,2.680000067,3.339999914,7.400000095,18,7,1,0,5,44.42000008
27-05-2014,2014,5,Tuesday,0,2.339999914,5,28.60000038,12,1,1,6,55.9400003
28-05-2014,2014,5,Wednesday,1.340000033,5.019999981,1.399999976,10.27999973,9,0,2,5.099999905,34.13999963
29-05-2014,2014,5,Thursday,4,5.340000153,6.300000191,27,13,0,0,2,57.64000034
30-05-2014,2014,5,Friday,3.019999981,2.019999981,2,21.5,14,0,0,5,47.53999996
31-05-2014,2014,5,Saturday,5.670000076,3.339999914,2,28,10,0,15,2,66.00999999
01-06-2014,2014,6,Sunday,1,0.680000007,1,10,4,1,1,3,21.68000001
02-06-2014,2014,6,Monday,4,4.340000153,10,23.29999924,16,3,0,3,63.63999939
03-06-2014,2014,6,Tuesday,3,2,2.400000095,24,7,2,5,3,48.4000001
04-06-2014,2014,6,Wednesday,1,4.679999828,3.5,24,6,0,1,2.5,42.67999983
05-06-2014,2014,6,Thursday,0.340000004,4.679999828,4.5,22.5,4,0,0,5,41.01999983
06-06-2014,2014,6,Friday,5,1.679999948,3,16.625,15,2,1,5,49.30499995
07-06-2014,2014,6,Saturday,9,3.680000067,7.5,33,8,1,6,7,75.18000007
08-06-2014,2014,6,Sunday,1,2,3,11,8,0,6,2,33
09-06-2014,2014,6,Monday,6.329999924,1.340000033,5,18,17,4,0,11,62.66999996
10-06-2014,2014,6,Tuesday,8.680000305,2.680000067,4.300000191,23,16,2,2,6.5,65.16000056
11-06-2014,2014,6,Wednesday,4.340000153,0.680000007,2.299999952,12.5,16,2,12,9,58.82000011
12-06-2014,2014,6,Thursday,4.340000153,3,1,15.80000019,12,0,2,3,41.14000034
13-06-2014,2014,6,Friday,1,2.680000067,5,10,11,0,3,1,33.68000007
14-06-2014,2014,6,Saturday,4,5.019999981,6,8,10,0,1,3,37.01999998
15-06-2014,2014,6,Sunday,0.340000004,2,0,8,5,0,0,3.299999952,18.63999996
16-06-2014,2014,6,Monday,4.340000153,4.340000153,7.400000095,12.19999981,11,0,5,5,49.28000021
17-06-2014,2014,6,Tuesday,5,2.339999914,4,14,12,2,0,3,42.33999991
18-06-2014,2014,6,Wednesday,2,2,4.699999809,18,6,0,1,3,36.69999981
19-06-2014,2014,6,Thursday,3,3.329999924,1,14,8,0,0,1,30.32999992
20-06-2014,2014,6,Friday,7.340000153,2.019999981,3,14.5,9,0,3,6,44.86000013
21-06-2014,2014,6,Saturday,6,5.679999828,2,16,12,3,0,3,47.67999983
22-06-2014,2014,6,Sunday,4,1.019999981,4,18,8,0,2,3,40.01999998
23-06-2014,2014,6,Monday,2.339999914,7.679999828,3,25.20000076,12,0,2,3,55.22000051
24-06-2014,2014,6,Tuesday,3,5.139999866,4,16.20000076,23,0,2,4,57.34000063
25-06-2014,2014,6,Wednesday,8,5.340000153,7,33.79999924,19,0,0,1,74.13999939
26-06-2014,2014,6,Thursday,3,2,11.30000019,19.29999924,14,0,0,1,50.59999943
27-06-2014,2014,6,Friday,4.340000153,1,6,32.29999924,13,0,1,3,60.63999939
28-06-2014,2014,6,Saturday,0.340000004,5.340000153,5,20,14,1,1,5,51.68000016
29-06-2014,2014,6,Sunday,0,1,1,10,1,0,0,1,14
30-06-2014,2014,6,Monday,6,5.340000153,1,25,6,0,0,0,43.34000015
01-07-2014,2014,7,Tuesday,4.340000153,2.339999914,2,19,10,0,0,2,39.68000007
02-07-2014,2014,7,Wednesday,3,0.340000004,4,21.60000038,7,0,6,3,44.94000039
03-07-2014,2014,7,Thursday,2.329999924,5.679999828,7,12.5,7,2,0,2,38.50999975
04-07-2014,2014,7,Friday,4.340000153,4.699999809,7,10.5,14,0,2,3,45.53999996
05-07-2014,2014,7,Saturday,3.339999914,4.340000153,6,37,11,1,0,0,62.68000007
06-07-2014,2014,7,Sunday,4,2,3,10.19999981,9,0,0,0,28.19999981
07-07-2014,2014,7,Monday,2,3.339999914,4,13,11,0,0,4,37.33999991
08-07-2014,2014,7,Tuesday,6.340000153,2.339999914,3,14,3,0,5,1,34.68000007
09-07-2014,2014,7,Wednesday,3,6.340000153,5,13,6,4,0,2.200000048,39.5400002
10-07-2014,2014,7,Thursday,2.329999924,4.659999847,8,21.20000076,32,0,5,4,77.19000053
11-07-2014,2014,7,Friday,2,1.679999948,3.200000048,16.5,17,0,5,1,46.38
12-07-2014,2014,7,Saturday,8.340000153,2.680000067,10.5,28.10000038,12,3,12,4,80.6200006
13-07-2014,2014,7,Sunday,2,1.340000033,1,17,2,0,0,0,23.34000003
14-07-2014,2014,7,Monday,5,3.039999962,3,11.80000019,19,1,2,2,46.84000015
15-07-2014,2014,7,Tuesday,3.339999914,1.679999948,1,15.60000038,18,0,0,1.299999952,40.9200002
16-07-2014,2014,7,Wednesday,4,3.339999914,3,13,12,1,4,0,40.33999991
17-07-2014,2014,7,Thursday,2,3,5,25,14,1,0,1,51
18-07-2014,2014,7,Friday,9,2.339999914,1.5,14.19999981,6,3,0,4,40.03999972
19-07-2014,2014,7,Saturday,7.329999924,7.019999981,6,8.399999619,10,0,6,6,50.74999952
20-07-2014,2014,7,Sunday,3,0.340000004,1,8,5,0,0,0.100000001,17.44000001
21-07-2014,2014,7,Monday,3,4.679999828,8,20,13,1,0,2,51.67999983
22-07-2014,2014,7,Tuesday,5,5.679999828,3,9,7,0,1,2,32.67999983
23-07-2014,2014,7,Wednesday,2.670000076,6.369999886,2,8,19,0,0,3,41.03999996
24-07-2014,2014,7,Thursday,5.340000153,2,4.400000095,23,5,0,0,2,41.74000025
25-07-2014,2014,7,Friday,5,2.019999981,7.5,10,15,1,1,2,43.51999998
26-07-2014,2014,7,Saturday,4,6.679999828,6.199999809,36.20000076,13,0,0,4,70.0800004
27-07-2014,2014,7,Sunday,3,1.340000033,2,10,5,0,6,1,28.34000003
28-07-2014,2014,7,Monday,2,1.340000033,2,9.100000381,9,0,0,2,25.44000041
29-07-2014,2014,7,Tuesday,2.339999914,0.680000007,1,13,15,3,0,5,40.01999992
30-07-2014,2014,7,Wednesday,0.680000007,1.340000033,5,13.5,14,0,6,4.5,45.02000004
31-07-2014,2014,7,Thursday,3,0.340000004,4,10.5,8,0,0,1,26.84
01-08-2014,2014,8,Friday,2,1,2.200000048,14,17,1,0,1,38.20000005
02-08-2014,2014,8,Saturday,5,2.00999999,6,29,12,0,5,3,62.00999999
03-08-2014,2014,8,Sunday,5,1,3,6,5,5,0,0,25
04-08-2014,2014,8,Monday,4,5.019999981,6,21.5,14,0,0,4,54.51999998
05-08-2014,2014,8,Tuesday,2,1.340000033,3,17.10000038,9,0,0,0,32.44000041
06-08-2014,2014,8,Wednesday,6,5,1.399999976,17,7,1,1,1,39.39999998
07-08-2014,2014,8,Thursday,3.339999914,2.680000067,3,33,13,1,0,2,58.01999998
08-08-2014,2014,8,Friday,5.019999981,4.019999981,5,13,12,3,2,2,46.03999996
09-08-2014,2014,8,Saturday,4,1.340000033,6,19,24,3,0,5.900000095,63.24000013
10-08-2014,2014,8,Sunday,4,0.340000004,4,3,4,0,0,2,17.34
11-08-2014,2014,8,Monday,8,5.360000134,9.199999809,20,18,0,0,2,62.55999994
12-08-2014,2014,8,Tuesday,0,1.360000014,4.5,10,8,1,0,4.599999905,29.45999992
13-08-2014,2014,8,Wednesday,1.340000033,3.339999914,1,20.29999924,11,0,0,7,43.97999918
14-08-2014,2014,8,Thursday,4,2.339999914,6,14.39999962,13,0,0,6,45.73999953
15-08-2014,2014,8,Friday,4.340000153,4.019999981,7,13.19999981,15,2,3,2,50.55999994
16-08-2014,2014,8,Saturday,8,2.430000067,5,19,27,2,0,1,64.43000007
17-08-2014,2014,8,Sunday,0.340000004,0.680000007,2,6.5,7,0,0,1,17.52000001
18-08-2014,2014,8,Monday,4.340000153,6,3.099999905,16.5,21,3,10,2,65.94000006
19-08-2014,2014,8,Tuesday,11.34000015,6.349999905,5,16.10000038,13,1,3,1.100000024,56.89000046
20-08-2014,2014,8,Wednesday,5.340000153,5.340000153,1.399999976,9,10,2,0,1,34.08000028
21-08-2014,2014,8,Thursday,3,1,2,18,16,1,0,2.200000048,43.20000005
22-08-2014,2014,8,Friday,6.340000153,1.340000033,5,19,15,0,0,1,47.68000019
23-08-2014,2014,8,Saturday,3,3.019999981,1,25.60000038,5,0,0,4,41.62000036
24-08-2014,2014,8,Sunday,3,2.174999952,3,7,12,0,1,0,28.17499995
25-08-2014,2014,8,Monday,4.010000229,3.174999952,3,21.20000076,21,0,0,0,52.38500094
26-08-2014,2014,8,Tuesday,2.339999914,5.340000153,3,31,14,1,1,3,60.68000007
27-08-2014,2014,8,Wednesday,3.339999914,8.020000458,4,21,14,0,0,3,53.36000037
28-08-2014,2014,8,Thursday,2.339999914,5.360000134,6,32.66999817,19,0,4,0,69.36999822
29-08-2014,2014,8,Friday,6.340000153,3.680000067,5,26.28000069,18,1,0,3,63.30000091
30-08-2014,2014,8,Saturday,3.680000067,3.019999981,7,13,13,1,0,4,44.70000005
31-08-2014,2014,8,Sunday,0,2.680000067,1,15,13,0,7,2,40.68000007
01-09-2014,2014,9,Monday,3.339999914,1.715000033,1,15.5,15,0,0,5.5,42.05499995
02-09-2014,2014,9,Tuesday,2.339999914,4.679999828,5.199999809,20.13999939,7,0,2,3,44.35999894
03-09-2014,2014,9,Wednesday,7,6.340000153,4,22.18000031,12,0,2,3,56.52000046
04-09-2014,2014,9,Thursday,5.679999828,5.340000153,3,17.60000038,21,1,0,1,54.62000036
05-09-2014,2014,9,Friday,4,0.778999984,3,15.60000038,15,2,0,2,42.37900037
06-09-2014,2014,9,Saturday,5.340000153,5,2.400000095,15.69999981,30,2,5,3.099999905,68.53999996
07-09-2014,2014,9,Sunday,2,5.514999866,5,7,9,0,0,1,29.51499987
08-09-2014,2014,9,Monday,1,5.360000134,3.5,20.79999924,15,0,1,4,50.65999937
09-09-2014,2014,9,Tuesday,6.340000153,2.339999914,4,29.20000076,17,0,2,1.200000048,62.08000088
10-09-2014,2014,9,Wednesday,4.340000153,3.339999914,3.5,37.79999924,12,0,0,1,61.9799993
11-09-2014,2014,9,Thursday,0,1.340000033,4,32.20000076,15,0,10,0,62.5400008
12-09-2014,2014,9,Friday,2.680000067,2.670000076,1,20,19,0,8,1,54.35000014
13-09-2014,2014,9,Saturday,3,5.360000134,4.400000095,56.84999847,20,0,1,3,93.6099987
14-09-2014,2014,9,Sunday,1.340000033,2,2,19.5,6,0,6,0,36.84000003
15-09-2014,2014,9,Monday,1.340000033,3,5.400000095,28.20000076,9,0,1,0,47.94000089
16-09-2014,2014,9,Tuesday,4,2.680000067,0,59.29999924,13,0,0,0,78.9799993
17-09-2014,2014,9,Wednesday,2.339999914,6,4,39.59999847,11,2,19,4,87.93999839
18-09-2014,2014,9,Thursday,3,2.019999981,1,44,7,0,0,1,58.01999998
19-09-2014,2014,9,Friday,2,4.340000153,7.800000191,23,8,0,22,0,67.14000034
20-09-2014,2014,9,Saturday,4.340000153,1.855000019,4.5,20.60000038,14,1,2,0,48.29500055
21-09-2014,2014,9,Sunday,1,3.019999981,6,12.39999962,7,0,0,3,32.4199996
22-09-2014,2014,9,Monday,3.339999914,4,5.5,34.20000076,10,1,0,2,60.04000068
23-09-2014,2014,9,Tuesday,3,3.339999914,5.5,26,10,0,1,2,50.83999991
24-09-2014,2014,9,Wednesday,6,3.339999914,1.399999976,24.70000076,14,0,0,0,49.44000065
25-09-2014,2014,9,Thursday,4.679999828,6.340000153,8.199999809,49.15000153,15,1,1,5,90.37000132
26-09-2014,2014,9,Friday,4,3.680000067,3.5,38,22,2,0,1,74.18000007
27-09-2014,2014,9,Saturday,4,2,6,46.29999924,18,0,0,4,80.29999924
28-09-2014,2014,9,Sunday,0.340000004,2.680000067,1,21.20000076,6,0,0,2,33.22000083
29-09-2014,2014,9,Monday,7,3.680000067,2.299999952,29.79999924,12,0,10,4,68.77999926
30-09-2014,2014,9,Tuesday,10,5.340000153,4,61.29999924,10,2,22,2,116.6399994
01-10-2014,2014,10,Wednesday,2.339999914,0,2.400000095,44,15,0,11,2,76.74000001
02-10-2014,2014,10,Thursday,2,4.989999771,5,23.89999962,11,0,2,1,49.88999939
03-10-2014,2014,10,Friday,4.329999924,1.340000033,5.900000095,44.13999939,12,0,11,2,80.70999944
04-10-2014,2014,10,Saturday,4.679999828,7.765999794,8,49.90000153,12,1,25,0,108.3460011
05-10-2014,2014,10,Sunday,2,3.339999914,3,19,1,0,0,3,31.33999991
06-10-2014,2014,10,Monday,5.340000153,1.36500001,2.400000095,69.875,13,1,0,1,93.98000026
07-10-2014,2014,10,Tuesday,3,4.340000153,2.200000048,41.70000076,17,1,5,0,74.24000096
08-10-2014,2014,10,Wednesday,3.680000067,6,7,50,17,0,0,2,85.68000007
09-10-2014,2014,10,Thursday,1,4.690000057,6,48.20000076,10,2,5,0,76.89000082
10-10-2014,2014,10,Friday,4.340000153,2.680000067,9,28.79999924,24,3,6,0.5,78.31999946
11-10-2014,2014,10,Saturday,3.339999914,3.680000067,5,35.90000153,15,0,0,5,67.92000151
12-10-2014,2014,10,Sunday,3,0.330000013,1.5,22.5,7,0,5,2,41.33000001
13-10-2014,2014,10,Monday,1.679999948,4,6.199999809,31.89999962,11,0,1,2,57.77999938
14-10-2014,2014,10,Tuesday,3,5.409999847,4.800000191,31.79999924,7,0,11,0,63.00999928
15-10-2014,2014,10,Wednesday,1.330000043,6.349999905,3.5,23.70000076,14,1,2,4,55.88000071
16-10-2014,2014,10,Thursday,6.775000095,3.510312557,2.9375,58.921875,9.0625,0.625,5,2.1875,89.01968765
17-10-2014,2014,10,Friday,3,2.339999914,3.400000095,42,22,3,0,2,77.74000001
18-10-2014,2014,10,Saturday,4,6,5.5,21.39999962,24,0,3,2,65.89999962
19-10-2014,2014,10,Sunday,3.329999924,3,2,13.89999962,9,0,6,1,38.22999954
