week_start_date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
21-09-2014,18.02000046,22.91500092,28.70000076,227.1000061,69,3,44,8
28-09-2014,25.36000061,25.37999916,31.10000038,239.5500031,95,4,2,16
05-10-2014,32.34999847,26.45599937,30.60000038,272.0400085,73,3,81,14
12-10-2014,23.70000076,23.08499908,33.09999847,296.9750061,103,7,21,10.5
19-10-2014,23.11499977,30.61031342,28.33749962,223.6218719,96.0625,4.625,28,13.1875
26-10-2014,19.69000053,25.13999939,25.20000076,213.6000061,95,3,30,10
02-11-2014,25.67000008,14.81999969,34.09999847,203.8000031,112.5,4,39,7
09-11-2014,40.66999817,31.04999924,29.79999924,177.8999939,152,5,25,6.199999809
16-11-2014,31.67000008,24.34000015,31.29999924,177.1000061,110,4,22,10.19999981
23-11-2014,28.35000038,25.04000092,37.5,161.5,105.5,3,38,8.699999809
30-11-2014,31.05999947,18.09000015,39.59999847,161.5,96,7,20,18.10000038
07-12-2014,28.69000053,30.28100014,18.29999924,175.6999969,114,4,40,9.399999619
14-12-2014,25.02000046,22.02000046,30.39999962,221.5800018,109,7,21,3
21-12-2014,25.01000023,20.69000053,24.34000015,203.6000061,78,6,31,6
28-12-2014,36.18000031,32.79000092,27.7840004,282.7000122,154,4,54,12
04-01-2015,36.68000031,34.54000092,24.70000076,300.2200012,65,7,25.25,10
11-01-2015,19.34000015,37.31100082,32.90000153,234.3999939,98,7,39,10
18-01-2015,39.34999847,30.35000038,38.79999924,231.4499969,115,4,32,9
25-01-2015,29.69000053,14.53800011,32.20000076,246.5500031,128,3,58,8
01-02-2015,32.18999863,36.58000183,29.70000076,199.3000031,101,8,40,9
08-02-2015,20.34000015,31.32900047,31.60000038,195.25,74,1,36,11
15-02-2015,35.00999832,29.64599991,44.20000076,222.8200073,77,4,65,13
22-02-2015,21.67000008,32.7820015,20.62999916,283.8120117,34,2,69,14
01-03-2015,43.34999847,30.52599907,31.10000038,241.6699982,54,5,38,12
08-03-2015,41.68000031,25.77700043,23.70000076,245.3500061,39,1,17,10
15-03-2015,27.02000046,29.86700058,33,267.6000061,53,2,35,13
22-03-2015,42,27.35000038,24.29999924,254.3999939,55,2,58,6
29-03-2015,25.01000023,31.67200089,28.89999962,232.3999939,49,4,58,17
05-04-2015,35.00999832,23.80699921,42.09999847,227.8699951,42,3,15,21
12-04-2015,40.18000031,24.82500076,30.39999962,189.6999969,45,2,40,19
19-04-2015,41.65000153,22.86800003,32,224.3000031,42,0,19,26
26-04-2015,36.65999985,21.83499908,24.89999962,239.1000061,46,0,6,24
03-05-2015,29.34000015,21.01300049,23.94000053,196.8000031,40,2,20,41.70000076
10-05-2015,22,34.12900162,30.79999924,166.1999969,48,3,26,38.79999924
17-05-2015,35,31.08300018,39.5,198.3500061,34,0,12,36.70000076
24-05-2015,35.68000031,23.45199966,23.20000076,126.8499985,54,2,10,29.79999924
31-05-2015,50.33000183,24.04700089,32.5,196.1000061,44,3,51,38.5
07-06-2015,35.34000015,28.02000046,27.70000076,143.5500031,54,5,53,28
14-06-2015,28.34000015,24.98999977,30.5,167.4759979,55,3,26,27.60000038
21-06-2015,41.66999817,23.04000092,35.75999832,174.3999939,52,3,83,34.90000153
28-06-2015,39.84000015,29.30999947,41.5,172.9869995,29,1,18,28
05-07-2015,36.36000061,27.02000046,28.29999924,152.1000061,66,1,35,30.29999924
12-07-2015,30.51000023,26.37999916,24.20000076,198.25,52,0,21,40.5
19-07-2015,38.70999908,20.37000084,23,142.75,26,3,7,26.29999924
26-07-2015,36.34999847,23.34000015,27.79999924,171.8500061,44,2,7,25
02-08-2015,50.36000061,36.72999954,40.20000076,134.878006,65,0,3,19.5
09-08-2015,33.83000183,22.64999962,31.70000076,168.1999969,42,4,11,17.70000076
16-08-2015,41.00999832,37.70299911,33.59999847,169.6880035,64,3,7,20
23-08-2015,41.16999817,24.74600029,29,194,65,5,10,18
30-08-2015,51.68000031,38.38000107,27.70000076,186.8999939,62,3,11,22
06-09-2015,39.34999847,41.22000122,25.29999924,180.1499939,66.5,3,22,21
13-09-2015,38.33000183,33.63199997,34.09999847,236.1999969,56,4,24,17
20-09-2015,38.66999817,27.5510006,23.89999962,189.1000061,56.5,0,17,18
27-09-2015,41.22000122,31.0359993,23.5,207.0749969,50,4,17,14
04-10-2015,44.65000153,30.07900047,22,245.6620026,41,0,50,10
11-10-2015,45.33000183,24.24399948,34.40000153,333.3370056,73.5,4,51,18
18-10-2015,42.65999985,40.0929985,35.90000153,423.1740112,41.5,1,32,16
25-10-2015,48.16999817,21.83499908,30.89999962,352.7619934,42,1,40,19
01-11-2015,29.97999954,28.99300003,35.59999847,377.3999939,59,2,33,12
08-11-2015,32.49000168,28.09700012,34.70000076,342.875,60,6,33,10
15-11-2015,36.97000122,38.11000061,42.40000153,249.3000031,52,4,70,7
22-11-2015,32.00999832,23.79199982,29.89999962,273.5,55,4,32,13
29-11-2015,31.64999962,28.41900063,28.29999924,253.6000061,45,3,19,11
06-12-2015,31.31999969,24.96999931,29.39999962,278.25,54,12,25,9.329999924
13-12-2015,41.50999832,36.2859993,40.20000076,234.8869934,58,3,72,11.10000038
20-12-2015,32.99000168,24.38500023,25.10000038,216.6000061,47,6,52,6
27-12-2015,31.97999954,26.8579998,26.5,330.0620117,75,5,50,11.30000019
03-01-2016,33.33000183,25.63699913,24.29999924,341.1499939,58,4,48,13
10-01-2016,41.65000153,25.13599968,41.29999924,342.2000122,48,4,35,9
17-01-2016,51.66999817,27.21100044,50.5,365.25,82,0,21,12
24-01-2016,27.97999954,33.375,39.70000076,320.5,65,9,46,17
31-01-2016,46.00999832,37.65999985,37.5,341.0740051,52,10,62,12.5
07-02-2016,51.65999985,38.95700073,34.59999847,321.8240051,39,5,37,10
14-02-2016,33.83000183,36.61800003,37.09999847,294.6130066,71,3,78,16
21-02-2016,38.66999817,23.44199944,24.60000038,272.9500122,52,7,60,12
28-02-2016,42.65000153,30.85099983,33.90000153,289.2749939,64,5,67,19
06-03-2016,38.15999985,38.08200073,33.79999924,298.7999878,55,4,28,19
13-03-2016,28.82999992,44.86999893,25.10000038,255.6999969,41,2,62,12.34000015
20-03-2016,42.63999939,48.7519989,32.90000153,244.6620026,67,3,81,26
27-03-2016,35.5,26.51499939,45.40000153,283.4880066,72,4,52,26
03-04-2016,38.18000031,27.43600082,30.20000076,270.4500122,41,0,74,44.40000153
10-04-2016,47.65999985,41.24399948,28.25,200.6499939,35,6,60,40.59999847
17-04-2016,27.65999985,32.91699982,31.5,255.2250061,80.33333588,3,50,39.90000153
24-04-2016,32.97999954,26.15399933,36.20000076,177.1499939,54,8,40,26.79999924
01-05-2016,38.63999939,33.80500031,36.75,209.1119995,109.6666641,1,25,26.20000076
08-05-2016,35.31999969,35,21,257.5,54,4,9,32
15-05-2016,34.34000015,31.63999939,33.75,220.8999939,56,1,35,20.5
22-05-2016,28.68000031,27.96199989,33.59999847,240,61,3,46,34.20000076
29-05-2016,59.68000031,19.90600014,34.59999847,228.3500061,78,10,21,40.40000153
05-06-2016,41.66999817,22.85899925,22.25,154.0500031,50,3,35,31
12-06-2016,55.99000168,26.00300026,25,228.9620056,58,3,36,38.20000076
19-06-2016,28.67000008,30.57099915,28.25,185.3999939,60,2,42,37
26-06-2016,34.34999847,25.5720005,32.65000153,163.0379944,71,0,22,25.60000038
03-07-2016,33.65999985,27.61599922,34.09999847,147,61.5,12,45,28
10-07-2016,41.34000015,41.4620018,27.04999924,152,64,5,15,24.29999924
17-07-2016,41.8983345,32.48300171,25,150.2619934,50,0,21,32.52999878
24-07-2016,39.65000153,25.9470005,38.29999924,147.6000061,42,0,10,22
31-07-2016,56.31000137,29.81999969,30.64999962,134.5,70,3,30,23
07-08-2016,53.99000168,25.30599976,32.40000153,162.6000061,111.5,1,62,20.29999924
14-08-2016,53.34000015,34.55400085,35.09999847,170.9166718,84,5,13,19
21-08-2016,43.97999954,23.30999947,27,162.75,45,4,17,22.5
28-08-2016,40.15999985,23.38800049,29.20000076,143.8166656,24,2,21,17.20000076
04-09-2016,47.65999985,23.91799927,25.5,172.8000031,53,0,16,20.29999924
11-09-2016,32.63000107,33.19599915,30.35000038,255.0240021,72,8,26,20
18-09-2016,37.65999985,34.52199936,20.89999962,225.1499939,93,0,37,12.10000038
25-09-2016,33.66999817,27.92700005,25.5,264.2250061,67,5,29,11
02-10-2016,65.33000183,26.1779995,34.34999847,382.3380127,44,5,38,17.20000076
09-10-2016,36.34999847,31.95700073,35.5,418.1870117,30,2,46,13.5
16-10-2016,41.65000153,29.2670002,38.20000076,347.3500061,134.8333282,3,59,13.30000019
23-10-2016,38.95999908,34.65100098,32.79999924,293.8166809,41,3,47,15.10000038
30-10-2016,42.81000137,30.65500069,39.75,346,68,3,29,9
06-11-2016,34.98666763,21.95899963,26.5,256.5499878,54,3,42,23.20000076
13-11-2016,46.33000183,33.97000122,37.29999924,260.7999878,67.16666412,4,36,10.60000038
20-11-2016,37.65999985,22.31900024,32.75,252.8119965,50,9,22,10.39999962
27-11-2016,37.02000046,32.39899826,30.95000076,243.1239929,45,9,48,12
04-12-2016,34.18000031,25.26499939,19.95000076,302.1619873,52,2,55,4.199999809
11-12-2016,41.84999847,23.8920002,37.75,275.4240112,37,4,71,11
18-12-2016,35.13999939,27.53899956,25.39999962,303.5249939,88.33333588,6,88,9.199999809
25-12-2016,26,29.63400078,19.10000038,315.2000122,28,3,31,6.5
01-01-2017,49.20375061,42.70524979,31.52916718,546.8989868,53.75,6.875,55.25,4.625
08-01-2017,33.6875,30.38249969,33.54166794,343.3500061,62.91666794,3.958333254,47.65625,14.58333302
15-01-2017,48.74583435,34.27541733,60.125,368.4791565,120,5.416666508,31.66666603,12.16666698
22-01-2017,39.45416641,30.46041679,41.5,320.5833435,115.8333359,9.583333015,45.41666794,15.83333302
29-01-2017,43.97083282,42.04583359,44.70833206,298.5050049,105.8333359,8.333333015,55.41666794,12.70833302
05-02-2017,54.15750122,42.41791534,40.70833206,265.8933411,79.33333588,9.166666985,44.33333206,14.4333334
12-02-2017,47.32249832,29.09000015,33.54999924,146.1999969,39,3,27,9
19-02-2017,27.32999992,22.64800072,11.75,128.0500031,18,0,18,10.30000019
26-02-2017,32.66999817,32.35400009,32.20000076,170.6999969,49.875,2,36,8.199999809
05-03-2017,46.34999847,31.47999954,34.59999847,134.6999969,53,4,48,19.5
12-03-2017,37.50999832,27.73600006,26.20000076,171.1000061,31,7,20,17
19-03-2017,33.99000168,18.65399933,19.20000076,146.1000061,35,0,25,11
26-03-2017,36.83000183,29.71899986,18.85000038,122,36,0,31,32.09999847
02-04-2017,28.18000031,18.38899994,29,138.3999939,39,0,20,37.90000153
09-04-2017,32.65999985,21.02300072,23.39999962,119.0999985,34,3,47,22.5
16-04-2017,48.65999985,15.90400028,18.39999962,126.6500015,21,2,58,23.20000076
23-04-2017,32.29999924,26.81200027,27,130.6999969,38,2,17.875,16
30-04-2017,32.99000168,31.25300026,25.70000076,106.75,33,2,48,45.29999924
07-05-2017,25.34000015,27.39599991,19.04999924,92.84999847,30,0,44,25.10000038
14-05-2017,38.97999954,23.8920002,31.95000076,109.9000015,36,14,24,40.70000076
21-05-2017,31.67000008,31.4090004,11.19999981,150.6000061,32,3,27,39
28-05-2017,32.33000183,25.57999992,23.85000038,129.3899994,37,0,23,42.00999832
04-06-2017,31.01000023,20.99099922,24.14999962,137.3999939,38,9,44,26
11-06-2017,30.48999977,30.59600067,27.25,122.9499969,37,0,37,38.70000076
18-06-2017,21.65999985,30.09900093,14.25,96.44999695,40,3,40,44.36999893
25-06-2017,28.15999985,14.97999954,22.10000038,128,31,2,23,34.83000183
02-07-2017,34.68000031,22.19799995,27.75,95.5,41,0,39,31
09-07-2017,35.49000168,24.24900055,22.10000038,110.5999985,63,1,37,20
16-07-2017,27.67000008,36.15200043,14.14999962,111,41,5,25,13
23-07-2017,41.83000183,27.19599915,21.5,117,43,8,31,25
30-07-2017,29.63500023,21.78899956,12.19999981,100.75,52,1,7,13.10000038
06-08-2017,41.65999985,17.36100006,13.25,112.9120026,41,2,13,17
13-08-2017,20.01000023,26.37199974,22,103.788002,66,5,12,10.5
20-08-2017,35.81999969,24.52899933,24.14999962,115.8499985,56,0,20,14.5
27-08-2017,40.65000153,27.92900085,12.55000019,170.75,60,2,23,12
03-09-2017,55.86000061,27.68099976,27.70000076,124.4000015,48,3,16,14.10000038
10-09-2017,38.16999817,32.36000061,24.79999924,182.6999969,44,1,8,21.5
17-09-2017,27,24.06299973,24.64999962,152.9499969,73,3,30,18.39999962
24-09-2017,39.97999954,30.48900032,11.10000038,219.75,48,7,19,18
01-10-2017,20.67000008,27.09799957,17.60000038,323.0499878,42,13,98,4
08-10-2017,32.65999985,22.36400032,23.5,305.1499939,48,4,49,12
15-10-2017,33.66999817,17.80900002,14.5,222.6000061,41,3,52,13.5
22-10-2017,29.5,22.79199982,23,268.8999939,73,5,44,10
29-10-2017,31.97999954,14.8579998,30.39999962,244.8000031,48,2,73,12.5
05-11-2017,29.5,31.45899963,21.04999924,221.75,35,3,35,12.19999981
12-11-2017,40.52000046,25.3560009,27.45000076,184.1999969,44,3,51,8.5
19-11-2017,35.31999969,28.18099976,22.89999962,191.1000061,40,3,69,8.899999619
26-11-2017,45.99000168,31.00399971,20.5,203.6239929,64,3,21,7
03-12-2017,38.34000015,26.15600014,27.54999924,218.8249969,35,3,40,17.5
10-12-2017,27.01000023,20.06599998,29.5,215.6000061,50,1,64,13
17-12-2017,38.50999832,28.74600029,24.39999962,240,53,2,34,12
24-12-2017,24.32999992,21.45999908,22.60000038,168.6999969,38,0,32,5.599999905
31-12-2017,50.16999817,34.0379982,29.64999962,302.0799866,68,3,63,11
07-01-2018,28.32999992,17.31100082,11.44999981,230.1999969,31,0,39,16
14-01-2018,34.47999954,30.34499931,28.10000038,255.5249939,52,6,44,6
21-01-2018,36.65000153,19.62400055,22.5,226.8000031,49,2,75,9.5
28-01-2018,25.82999992,28.96699905,27.85000038,306.5,64,0,47,13
04-02-2018,26.97999954,38.71500015,26.54999924,318.1000061,64,3,34,17.39999962
11-02-2018,42.18000031,28.72500038,31.60000038,366.9500122,76,0,71.25,6.659999847
18-02-2018,31.51000023,43.61800003,28.70000076,338.5620117,62,1,48,6
25-02-2018,29.35000038,29.30500031,28.54999924,229.1000061,49,0,70,11
04-03-2018,19.32999992,20.77199936,33.20000076,256.5490112,115,16,68,14.5
11-03-2018,36.65000153,29.9279995,33.75,223.8999939,91,17,68,16.39999962
18-03-2018,31.32999992,21.53800011,19.64999962,207.8000031,77,2,61,24
25-03-2018,28.01000023,20.73600006,25.89999962,241.1119995,50,3,58,17.5
01-04-2018,43,27.77000046,20.29999924,224.723999,117,16,51,21.10000038
08-04-2018,38.84999847,23.3010006,22.89999962,209.5249939,83,7,60,36.5
15-04-2018,38.83000183,22.30800056,23.5,175.6999969,64,3,52,53.5
22-04-2018,29.84000015,26.67099953,10.14999962,211.0249939,51,0,28,38.70000076
29-04-2018,50.66999817,25.44300079,25.04999924,155.9120026,60,3,66,56.40000153
06-05-2018,29.01000023,28.89500046,18.25,136.7369995,53,0,26,65
13-05-2018,53.81999969,24.28199959,25.14999962,160.8000031,66,4,31,51
20-05-2018,27.69000053,24.2859993,17,156.8000031,59,7,47,39.40000153
27-05-2018,31.15999985,20.34600067,24.14999962,135.7859955,60,2,31,37
03-06-2018,49.16999817,20.38500023,16.85000038,143.0500031,59,4,45,41.63999939
10-06-2018,30.31999969,26.02300072,17.45000076,138.4499969,61,6,23,24.39999962
17-06-2018,31.52000046,31.19499969,20.60000038,124.5690002,57,0,16,30.39999962
24-06-2018,27.51000023,29.29899979,20.75,143.0619965,45,3,29,32.59999847
01-07-2018,28.5,23.38999939,20,125.8619995,66,5,31,23.39999962
08-07-2018,30.98999977,33.31000137,21.75,136.4499969,78,3,41,33.5
15-07-2018,33.66999817,31.35300064,22.64999962,189.3999939,62,9,11,23.39999962
22-07-2018,33.65999985,32.05699921,16.29999924,165.6000061,65,2,24,29
29-07-2018,39.52999878,22.06999969,17.20000076,126.9000015,57,3,4,25.29999924
05-08-2018,26.34000015,20.93600082,18.29999924,106,58,8,9,29.29999924
12-08-2018,38.65000153,27.81699944,29,147.7879944,66,2,13,23
19-08-2018,31.31999969,33.50899887,16.39999962,169.8500061,56,7,28,20
26-08-2018,35.34000015,30.09700012,18.54999924,223.1000061,44,2,79,24.79999924
02-09-2018,27.70000076,17.79899979,19.5,165.1000061,54,4,36,17
09-09-2018,34.15999985,20.52199936,17.60000038,223.1999969,63,0,43,21.70000076
16-09-2018,40.15999985,20.91799927,19.25,253.5500031,71,6,42,17.39999962
23-09-2018,33.34000015,32.18600082,17.20000076,222.1620026,64,3,47,28
30-09-2018,36.84000015,35.99300003,27.25,320.3500061,54,2,67,17
07-10-2018,30.52000046,31.63899994,15.80000019,262.9500122,60,3,63,9.100000381
14-10-2018,32.65999985,28.56999969,20.64999962,239.5,87,7,56,22
21-10-2018,32.84999847,27.16399956,13.10000038,241,50,9,67,25
28-10-2018,32,30.67700005,20.14999962,300.7250061,71,6,116,14.80000019
04-11-2018,46.65000153,21.43099976,15.55000019,240.1000061,42.20000076,3,46,12.30000019
11-11-2018,39.99000168,19.78899956,34.54999924,255.8500061,70,5,93,8.899999619
18-11-2018,37.34000015,26.11300087,28,236.1000061,63,5,100,7.400000095
25-11-2018,43.33000183,29.49399948,23.39999962,201,54,6,67,11.30000019
02-12-2018,31.82999992,34.56800079,19.04999924,253.8999939,55,6,70,24.5
09-12-2018,23.48999977,21.50900078,15.69999981,222.6000061,60,0,56,9
16-12-2018,23.34000015,21.91300011,19.70000076,249.6999969,51,5,98,10.80000019
23-12-2018,37.68000031,17.23900032,13.80000019,240.6000061,53,9,58,9
30-12-2018,45.02999878,33.14500046,18.29999924,349.8500061,67,10,96,10.30000019
06-01-2019,41,31.26300049,23.54999924,289.6499939,51,2,54,11
13-01-2019,35.65999985,28.40399933,20.20000076,354.7999878,79.19999695,6,50,6
20-01-2019,51.18999863,52.06900024,27.95000076,384.0499878,69,3,121,13
27-01-2019,38.34999847,53.24300003,22.5,478.2999878,69,9,93,9
03-02-2019,52.18000031,53.57099915,30.64999962,348.5620117,64,5,131,13.69999981
10-02-2019,32.34999847,47.25099945,28.70000076,297.4500122,50,4,62,15.69999981
17-02-2019,35.00999832,36.77199936,31.79999924,249.9120026,78.40000153,0,35,16.60000038
24-02-2019,22.35000038,24.63500023,16.39999962,204,71,3,31,13.30000019
03-03-2019,26.68000031,18.41399956,20.85000038,187.8000031,49,6,57,23.89999962
10-03-2019,30.51000023,16.56900024,21.70000076,231.8999939,72,5,26,32.59999847
17-03-2019,43.50999832,22.95299911,20.20000076,251.4499969,66,5,88,32
24-03-2019,35.99000168,20.6609993,13.94999981,196.6000061,68.40000153,2,74,48
31-03-2019,31.17000008,43.77399826,20,172.8999939,69,4,53,49.5
07-04-2019,36.18999863,25.68499947,26.5,173.3500061,62,1,51,57.59999847
14-04-2019,30.32999992,28.16500092,14.5,125.5,72.40000153,4,42,40.5
21-04-2019,29.84000015,24.02700043,14.55000019,117.9000015,80,9,36,33.20000076
28-04-2019,57.70000076,14.51399994,21.95000076,181.3000031,67,6,62,36.40000153
05-05-2019,31.36000061,27.41300011,28.54999924,157.6000061,52,7,64,45.40000153
12-05-2019,36.34999847,19.96800041,22.20000076,149.1000061,79,8,123,24
19-05-2019,40,18.02300072,23.64999962,160,68,5,61.29166794,23.39999962
26-05-2019,42.16999817,28.92499924,24.35000038,194.3999939,49.79999924,5,65,34
02-06-2019,32.49000168,14.70300007,25,141.4620056,40,4,27,28
09-06-2019,37.66999817,16.53700066,28.79999924,157.6000061,52,7,45,28.10000038
16-06-2019,37.20000076,23.25900078,24.75,123.5999985,46,1,23,57
23-06-2019,35.65999985,27.38800049,20.5,148.5,49,10,32,35.93999863
30-06-2019,34.00999832,30.44300079,20.10000038,130.8999939,41,6,28,27
07-07-2019,34.65000153,20.77700043,19,132.0500031,47,1,17,28.79999924
14-07-2019,44,31.31900024,28.04999924,149.6000061,53.59999847,8,15,21
21-07-2019,47.33000183,18.64900017,17.45000076,149.1999969,55,2,15,28
28-07-2019,36.52000046,19.43899918,19.29999924,124.375,70,5,30,18.39999962
04-08-2019,44.00999832,23.29999924,21.29999924,156.4499969,54,11,48,19.70000076
11-08-2019,40.99000168,19.21899986,21.29999924,86.25,57,8,66,20
18-08-2019,45.18000031,19.10899925,13.55000019,125,53,2,35,23
25-08-2019,41.86999893,27.51600075,17.04999924,115.4499969,61,6,24,20.5
01-09-2019,30.36000061,16.84199905,25,117.4000015,45.20000076,4,15,27.10000038
08-09-2019,40.70999908,26.7670002,15.75,154.7550049,51,6,15,28.5
15-09-2019,35.50999832,30.97699928,19.64999962,178.375,67.19999695,5,30,30.5
22-09-2019,46.84000015,25.39599991,24.39999962,248.25,31.20000076,3,26,21
29-09-2019,34.00999832,22.49799919,26.60000038,336.7000122,61.20000076,1,40.41666794,23.10000038
06-10-2019,38.70000076,32.5019989,19.25,249.4499969,69,5,30,12.13000011
13-10-2019,7.670000076,6.236999989,3.5,95.09999847,26,2,12,1
